lag,autocorrelation,lower_bound,upper_bound,significant
1,0.02348912255560092,-0.08145487463019763,0.08145487463019763,False
2,0.03134631158556763,-0.0814998040601297,0.08149980406012969,False
3,0.04759827329856601,-0.08157975756601284,0.08157975756601285,False
4,0.030698862989443274,-0.08176381124861792,0.08176381124861792,False
5,-0.0561751279399818,-0.08184025018849231,0.08184025018849231,False
6,0.010732952938587803,-0.0820956838540966,0.0820956838540966,False
7,-0.03826773154490596,-0.08210499338206453,0.08210499338206452,False
8,-0.0019346935968071696,-0.08222324780281792,0.08222324780281792,False
9,0.016797769518714607,-0.08222354984188676,0.08222354984188676,False
10,-0.027194499156749704,-0.08224631554426587,0.08224631554426587,False
25,0.006185051281169464,-0.08285329770473292,0.08285329770473292,False
50,-0.03326891954113564,-0.08539675323081183,0.08539675323081183,False
75,0.06474777284096378,-0.08755510421524748,0.08755510421524748,False
100,0.032689896589569355,-0.08931723014907329,0.08931723014907328,False
150,-0.02594731680800972,-0.09151393000726565,0.09151393000726563,False
200,-0.0105083909328976,-0.09449972775482092,0.09449972775482092,False
2,0.03134631158556763,-0.0814998040601297,0.08149980406012969,False
4,0.030698862989443274,-0.08176381124861792,0.08176381124861792,False
8,-0.0019346935968071696,-0.08222324780281792,0.08222324780281792,False
16,0.02352564559314501,-0.08250564345346335,0.08250564345346334,False
32,0.05607912762745666,-0.08350978919391433,0.08350978919391432,False
64,-0.04524056055525301,-0.08605670652459961,0.08605670652459962,False
128,-0.030988820882022088,-0.09052414931428446,0.09052414931428447,False
